Form Number,Date,Gear ,Landing Site ,Shark/Ray,Family name,Shark Scientific name,Common name ,Swahili name,Sex,Weight (kg),Total length (cm),Fork length,Pre-caudal length,Disc length,Disc width,photo ID,Comment
NGM280518-01,28-May-18,Gillnet,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,Subili,M,1.5,68,,,,,,
NGM280518-01,28-May-18,Gillnet,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,Subili,M,2,71.5,,,,,,
NGM280518-01,28-May-18,Gillnet,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,Subili,M,2.5,74,,,,,,
NGM280518-01,28-May-18,Gillnet,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,Subili,M,2,71,,,,,,
NGM280518-01,28-May-18,Gillnet,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,Subili,M,3,92,,,,,,
NGM290518-01,29-May-23,Gillnet,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,Subili,M,3.5,92.5,,,,,,
NGM290518-01,29-May-23,Gillnet,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,Subili,M,3,91,,,,,,
NGM290518-01,29-May-23,Gillnet,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,Subili,M,2,71,,,,,,
NGM290518-01,29-May-23,Gillnet,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,Subili,M,2.5,72.5,,,,,,
NGM290518-02,29-May-23,Gillnet,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,Subili,M,3.5,91,,,,,,
NGM290518-02,29-May-23,Gillnet,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,Subili,M,3,90,,,,,,
NGM310518-01,31-May-24,Gillnet,Ngomeni,Shark,Carcharhinidae,Carcharhinus falciformis,Silky shark,Subili,M,3,92.5,,,,,,
NGM310518-02,31-May-24,Gillnet,Ngomeni,Shark,Carcharhinidae,Carcharhinus sorrah,Spottail shark,Mwanga chapa,M,2,72.5,,,,,,
NGM310518-03,31-May-24,Monofilament,Ngomeni,Shark,Sphyrnidae,Sphyrna lewini,Scalloped hammerhead,Mbingusi,F,1.5,67,,,,,,
NGM010618-01,1-Jun-18,Gillnet,Ngomeni,Shark,Pristidae,Pristis spp,Sawfish,Papa brasi,F,120,110,,,,,,
NGM010618-02,1-Jun-18,Gillnet,Ngomeni,Ray,Dasyatidae,Taeniura meyeni,Round ribbontail ray,Shepwa,F,30,,,,30,,,
NGM010618-02,1-Jun-18,Gillnet,Ngomeni,Ray,Dasyatidae,Taeniura meyeni,Round ribbontail ray,Shepwa,M,24,,,,16,,,
NGM010618-03,1-Jun-18,Monofilament,Ngomeni,Ray,Dasyatidae,Taeniura lymma,Bluespotted ribbontail ray,Shepwa nundwi,F,33,,,,71,,,
NGM010618-04,1-Jun-18,Monofilament,Ngomeni,Ray,Dasyatidae,Taeniura lymma,Bluespotted ribbontail ray,Shepwa nundwi,F,29,,,,68,,,
SHM090518-01,9-May-18,Speargun,Shimoni,Ray,Dasyatidae,Taeniura lymma,Bluespotted ribbontail ray,Shepwa nundwi,F,27,,,,66,,,
